row_idx,product_id,shade_id,shade_name,brand_name,product_name,page_url,chip_url,center_url_used,image_file,status,error
11,P1000208609,377618,"R12 - Scarlet Mesh (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779499/377618-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779499/377618-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377618.avif,ok,
12,P1000208609,377616,"R13 - Red Muse (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779497/377616-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779497/377616-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377616.avif,ok,
13,P1000208609,377614,"R14 - Flushed Organza (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779495/377614-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779495/377614-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377614.webp,ok,
14,P1000208609,377629,"R15 - Sculptural Red (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/780620/377629-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/780620/377629-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377629.webp,ok,
15,P1000208609,377627,"R37 - Rouge Separables (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779508/377627-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779508/377627-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377627.avif,ok,
16,P1000208609,377621,"P09 - Blushing Tulle (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779502/377621-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779502/377621-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377621.avif,ok,
17,P1000208609,377619,"N08 - Masculine Feminine (2,3 g)",GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779500/377619-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779500/377619-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P1000208609__377619.avif,ok,
18,P10025810,273241,"Pillow Talk Intense (1,5 g + 0,8 g)",CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,https://www.sephora.fr/p/pillow-talk-duo-set---set-pour-les-levres-P10025810.html,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/588196/273241-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/588196/273241-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P10025810__273241.avif,ok,
19,P10025810,200834,"Pillow Talk Original (1,5 g + 0,8 g)",CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,https://www.sephora.fr/p/pillow-talk-duo-set---set-pour-les-levres-P10025810.html,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/514947/200834-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/514947/200834-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P10025810__200834.avif,ok,
20,P10025810,241092,"Pillow Talk Medium (1,5 g + 0,8 g)",CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,https://www.sephora.fr/p/pillow-talk-duo-set---set-pour-les-levres-P10025810.html,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/559618/241092-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/559618/241092-media_swatch.jpg?scaleWidth=900&scaleHeight=900&scaleMode=fit,data/_product_image_cache/P10025810__241092.avif,ok,
