query_id,product_id,shade_id,score,label,L_lab,a_lab,b_lab,C_lab,H_lab_deg,depth,warmth,sat_eff
scored_cluster_12_bright1,P10054584,344632,-60.26576403886264,0,66.35800870424434,26.094710891775897,16.536763201239534,30.893340280701885,32.36328878939827,33.64199129575566,3.4894077553515856,0.4655555656950554
scored_cluster_12_bright1,P10017581,242117,-59.10701891697285,0,62.71363316748169,21.387139230473863,15.66017987827677,26.507564171074996,36.2124890753222,37.28636683251831,4.966610263039838,0.4226762640315297
scored_cluster_12_bright1,P1000203663,355755,-14.799753588078325,1,45.30618918789632,62.2791119467836,26.48874433712034,67.67821925433121,23.041169756771467,54.69381081210368,-4.650811636271456,1.4937963326302368
scored_cluster_12_bright1,P10021336,349200,-10.435082455337998,1,43.069949069160245,63.25810677157306,31.42829455612598,70.63515959513616,26.41939737753177,56.93005093083976,-0.2007588296605504,1.6400102884197203
scored_cluster_12_bright1,P4147086,217092,-52.67742351017486,0,47.264022888245165,68.65039378225613,-11.885025345925415,69.67158957517849,350.17808492029087,52.73597711175484,-46.21022223705348,1.474093513789877
scored_cluster_12_bright1,P10043299,302114,-9.781315337733254,1,43.3507548958554,51.37747712532709,32.30734806468709,60.69110226990732,32.162632823281854,56.649245104144605,6.618609502023546,1.4000010476336542
scored_cluster_12_bright1,P10042096,299779,-108.86269690889716,0,88.22233398417757,2.301740949949005,12.92716132211964,13.13048023679173,79.90402615337405,11.777666015822431,11.77629084714514,0.1488339703089995
scored_cluster_12_bright1,P10057037,344742,-53.08990453592008,0,65.06861773703065,31.58612594201948,20.47553197491401,37.64214076910135,32.95310183096416,34.93138226296935,4.682469003904265,0.5784991610122855
scored_cluster_12_bright1,P3462067,385987,-12.847105717008588,1,41.83997929263875,58.723629891744125,26.42755278529111,64.39627515533714,24.22930260940933,58.16002070736125,-2.9342621605809533,1.5391086765348112
scored_cluster_12_bright1,P1000206800,367292,-51.845935266466746,0,24.30307558838299,18.983722178847135,7.014014317712814,20.238036085863992,20.27802049769201,75.696924411617,-2.4778467717107557,0.8327355939895069
scored_cluster_12_bright1,P4147086,217073,-54.27634690760777,0,59.50086676084648,19.031242573693486,21.81208264842876,28.94745486844483,48.89500320791274,40.49913323915352,12.296461361582011,0.4865047594145839
scored_cluster_12_bright1,P10054584,344640,-61.368533866311424,0,67.56691012384812,24.756967436637577,19.92696136642651,31.78035912254278,38.830698085919096,32.43308987615188,7.548477648107722,0.4703538916355704
scored_cluster_12_bright1,P10054585,344635,-50.57382368510317,0,59.68765568320633,26.79187310934339,17.156315666833244,31.81420487718002,32.63367911088915,40.31234431679367,3.7603791121615497,0.5330114663245392
scored_cluster_12_bright1,P10048132,313395,-11.855405164998066,1,31.616188332308266,52.1873833236638,31.0145525742636,60.70770502623849,30.72268372331729,68.38381166769173,4.920860912431699,1.92014623610405
scored_cluster_12_bright1,P10044132,300964,-11.467626349532733,1,42.27715475971543,52.08713752298544,29.125016671569647,59.67693433360672,29.212151876355733,57.72284524028457,3.0814479100769283,1.4115645831131236
scored_cluster_12_bright1,P10057524,345815,-12.821548505309636,1,49.93028537127282,51.44580688181366,35.73221583635562,62.63754700095438,34.78231004609552,50.06971462872718,10.009312395448791,1.254500080165627
scored_cluster_12_bright1,P3766008,444126,-59.07332582956392,0,66.55528532573913,29.435408694192034,15.221685153232878,33.138240506977226,27.344460455525397,33.444714674260865,0.5039808061368607,0.49790546828535
scored_cluster_12_bright1,P10058623,348861,-11.218506560334692,1,45.68393087934929,60.37026624615949,47.261695730818666,76.66966107910395,38.05610579582418,54.31606912065071,17.07656260773892,1.6782632230485506
scored_cluster_12_bright1,P10050401,320549,-10.642527149093878,1,44.21199049131684,57.10206552606589,29.59077743577655,64.3137621088736,27.39357604959639,55.78800950868316,1.039744672743602,1.4546678716377792
scored_cluster_12_bright1,P3891114,139080,-50.27817744398375,0,60.15105358996074,25.442033476174903,21.2167371203988,33.12773764444099,39.82555768944167,39.84894641003926,8.495720382311344,0.5507424337114194
scored_cluster_12_bright1,P1000203315,352496,-94.73271800018412,0,79.63146416380248,1.4896250344871298,22.331557078708244,22.38118460455065,86.1837423329099,20.368535836197523,21.58674456146468,0.2810595640752303
scored_cluster_12_bright1,P10024435,270675,-1.6089603349640451,1,39.67994969205897,58.60412368000956,39.10041156376851,70.45058904479039,33.7110419537467,60.32005030794103,9.798349723763732,1.7754707249260815
scored_cluster_12_bright1,P10018122,255999,-9.92157445127238,1,37.94905865059544,58.23297979582501,48.66738765090632,75.89199270453078,39.886712922561,62.05094134940456,19.550897752993816,1.999838610050476
scored_cluster_12_bright1,P10014832,271363,-12.57509620543996,1,48.50959429213218,65.36641529992544,39.291991316315446,76.2668265418441,31.01023015704891,51.49040570786782,6.608783666352728,1.5722008739663669
scored_cluster_12_bright1,P10014832,271365,-5.886325969060356,1,44.62621836036206,57.49524450838523,37.237824184245646,68.50079336077643,32.929834518817415,55.37378163963794,8.490201930053033,1.534989875405178
scored_cluster_12_bright1,P3766008,444121,-9.897863852821404,1,38.54565964454106,54.80291832935657,48.45448634674152,73.15187697209612,41.48179142291468,61.45434035545894,21.053027182063232,1.8977980308726168
scored_cluster_12_bright1,P10052826,328087,-12.594312211210188,1,39.0518853956962,61.75873679133764,27.12387071577327,67.4525457834447,23.71064060855184,60.9481146043038,-3.755497679895552,1.7272545256132104
scored_cluster_12_bright1,P10062116,364858,-12.244913206214395,1,49.40735731782237,63.27705375299253,36.87560547816372,73.23793969685579,30.232103767452145,50.592642682177626,5.237078601667456,1.4823286180990938
scored_cluster_12_bright1,P10014519,235298,-13.128879487534912,1,39.832157273099824,64.35818060353698,49.81389769531618,81.38427252360809,37.740241824528994,60.167842726900176,17.63480739354769,2.043180136230532
scored_cluster_12_bright1,P10062116,364857,-13.33112519009252,1,36.86869869698566,46.03082294117223,31.854818330162114,55.97826463449165,34.6844874093988,63.13130130301434,8.839406859576002,1.518314087908624
scored_cluster_12_bright1,P10060056,330276,-58.33105320488512,0,17.342808136066793,11.424304974196051,9.853882097935111,15.08687298758251,40.77897492871125,82.6571918639332,4.141729610837087,0.8699209994837716
scored_cluster_12_bright1,P10060424,355110,-49.91760902074778,0,32.55765994177487,13.58354046636176,15.402175247359972,20.536298935097232,48.59017140102896,67.44234005822513,8.610405014179094,0.6307670444320546
