cluster_id,n,L_lab,a_lab,b_lab,C_lab,H_lab_deg,hue_hsl_deg,sat_hsl,light_hsl,depth,warmth,sat_eff,name
15,48,29.968677803395455,36.104754329107244,0.6122820624112402,36.33569877497921,7.446839053041344,339.498820754717,0.43836530442035027,0.3196078431372549,70.03132219660455,-15.930201201865557,1.148935387938092,cluster_15
18,41,54.51433626884429,54.566777381240605,3.055690762371799,55.02304534329009,9.126515979502187,342.17821782178214,0.6453201970443349,0.5843137254901961,45.48566373115571,-21.172943927360187,1.0172620389177622,cluster_18
5,79,42.91535505598335,33.43080294707257,7.744955329269842,34.78950156798128,13.84897994705034,351.1764705882353,0.3306451612903225,0.4549019607843138,57.08464494401665,-8.271431355632952,0.7794930866567901,cluster_05
3,54,39.25043237410725,55.60462113772355,14.906836623684056,57.53887512328154,15.407143718102645,344.31964056482667,0.6701030927835051,0.4107843137254902,60.74956762589275,-12.552450848322547,1.5007918885352804,cluster_03
26,81,58.71834729366965,35.622340908849914,10.10065352414209,37.00922144663276,16.289612896504536,353.5922330097088,0.4594594594594594,0.6235294117647059,41.28165270633035,-7.423079588942155,0.6211618294757927,cluster_26
6,71,24.30307558838299,27.31347164830328,8.519486806334143,28.586804114395928,17.268261994045815,351.1475409836066,0.4285714285714285,0.2627450980392157,75.696924411617,-5.357479413197474,1.1896697437665675,cluster_06
16,58,56.746936499134904,48.11891625976075,18.675651833713943,51.992177577187476,21.749482189521558,354.50190839694653,0.6279434453802766,0.6166666666666667,43.253063500865096,-4.486779406105201,0.888744840098464,cluster_16
8,119,37.6389385907359,38.28901364139931,16.506603276059238,42.6479310581989,22.45040015649317,353.76623376623377,0.4330708661417323,0.403921568627451,62.3610614092641,-3.1052624515082528,1.0956025372775204,cluster_08
19,66,66.98297770233779,28.200936887237603,13.63426726452245,32.01975879755568,25.460057867439076,3.243243243243244,0.546449900464499,0.7107843137254901,33.01702229766221,-0.7079927854576518,0.4648972696916165,cluster_19
1,133,50.195493141734346,32.14782645129877,15.433585530534756,35.75878697214024,26.098032454492056,3.52941176470588,0.3620689655172415,0.5294117647058824,49.80450685826565,-0.3362024460531678,0.6979440560338173,cluster_01
24,121,40.60855191798765,51.37747712532709,26.209433337560828,58.59438721822881,26.643355348858563,354.31034482758616,0.5774647887323943,0.4333333333333333,59.391448082012346,0.0949987889662224,1.4373884536818362,cluster_24
14,78,52.43559786513597,64.84963692052229,34.82882763119998,73.01301923535645,28.076402045267002,354.6049461001902,0.7799481853405781,0.5656862745098039,47.56440213486403,2.217890729176627,1.401384883810048,cluster_14
21,79,27.352119042345315,36.52859828263083,20.483876118522414,42.06133737916445,29.77991466452272,5.185185185185189,0.5595238095238094,0.296078431372549,72.64788095765468,2.530026819217106,1.5508659258704327,cluster_21
11,100,41.75305687394666,26.342049554975837,16.556947770313528,31.101929450193346,31.50681789566653,6.165158371040725,0.33924847530985636,0.4235294117647059,58.24694312605334,3.0749590235994813,0.7586540704403268,cluster_11
4,104,52.120577416788194,43.9984467875196,27.062497289898488,52.11471839913979,31.977300908166228,4.481796624354864,0.5428685697145428,0.55,47.87942258321181,5.352170445032117,1.0126134306066334,cluster_04
0,100,32.06608322858007,46.38024713984866,30.713339345525256,55.28640739764454,33.29226922637213,13.161647673012032,0.706439393939394,0.33039215686274503,67.93391677141993,7.501813627008694,1.7740924447817084,cluster_00
25,96,60.38997459723831,31.380978563102346,20.659556318865448,37.725922107468165,33.327550514823,7.512101421436803,0.4974090481943886,0.6245098039215686,39.61002540276169,4.657819812300207,0.6177966191967185,cluster_25
12,119,38.97542381593661,57.17848807190495,38.85554473819624,69.33728636503788,33.811943460113184,348.1865284974093,0.7658536585365854,0.4019607843137255,61.02457618406339,9.734078022611826,1.788078706247835,cluster_12
28,59,27.261279610163875,20.74062497407661,14.562666847036317,27.164740656267448,35.620773061005536,8.437499999999996,0.4104046242774566,0.2764705882352941,72.73872038983612,4.174371568709463,0.9569581053440108,cluster_28
27,76,46.510898347704796,66.04820938514031,47.56591197419511,80.81045028811852,36.18597845836484,189.78185112907724,0.8449302325581396,0.4725490196078431,53.489101652295204,14.556847237363765,1.7410072813906827,cluster_27
29,81,39.66127042721561,35.43424159586539,26.09134901578105,44.16989455712374,37.480688348861634,8.947368421052634,0.5057471264367815,0.403921568627451,60.33872957278439,9.255748366645845,1.1111196173813067,cluster_29
17,86,50.574013498496676,26.17777390837822,21.46101547271332,33.313180434697884,38.79311753732884,11.26889601465873,0.35000260457363125,0.5078431372549019,49.425986501503324,8.204125027075932,0.6640247837528038,cluster_17
10,46,61.824956093237034,23.37907569505146,21.384253863084915,31.876295169719917,44.30847451847683,15.0,0.45576113558492404,0.6107843137254902,38.175043906762966,10.79974951696353,0.5010321054155312,cluster_10
9,36,46.8243125351549,17.729287635331506,22.081679701458512,29.671737962233884,50.779847504108545,19.072634682390778,0.34556877198860775,0.4431372549019607,53.1756874648451,12.071769370488388,0.6156382952290285,cluster_09
22,5,88.22233398417757,1.4896250344871298,12.92716132211964,13.13048023679173,86.1837423329099,38.400000000000006,0.4347826086956521,0.8490196078431373,11.777666015822431,11.77629084714514,0.1488339703089995,cluster_22
13,4,21.06686180116175,-3.4195835427760084,1.7631435700327103e-06,3.722204280689505,158.19859051364824,64.77272727272728,0.08119658119658114,0.18921568627450974,78.93313819883825,0.23967346663467248,0.1379923620163369,cluster_13
2,8,100.00000386666652,-1.6666666047271406e-05,6.666666418908562e-06,1.79505486900059e-05,158.19859051364824,0.0,0.0,1.0,-3.866666517637896e-06,1.4999999442544263e-05,1.795054799591807e-07,cluster_02
23,3,9.485671480555965,1.2619343644885013,-1.909670723914369,2.2889562280770317,302.42243102067806,260.0,0.1111111111111111,0.1078431372549019,90.51432851944404,-2.5406379061586204,0.4336148035363941,cluster_23
7,15,33.27177151248232,31.737537599119207,-12.951910552035905,34.077022898238965,337.9198719812479,315.7894736842105,0.3272727272727271,0.3411764705882353,66.72822848751768,-29.229147526037075,1.055627528535225,cluster_07
20,9,73.62427321092196,18.535386440340478,-7.14592273818373,19.8099118572528,338.8552965031509,326.7692307692308,0.3846153846153847,0.7686274509803921,26.375726789078044,-18.805614929802967,0.3370365447101211,cluster_20
