product_id,shade_id,brand_name,product_name,shade_name,url,chip_url,chip_rgb,chip_hex,r,g,b,L_lab,a_lab,b_lab,C_lab,H_lab_deg,hue_hsl_deg,sat_hsl,light_hsl,Y_rel,depth,warmth,sat_eff,colorfulness
P1000208609,377618,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R12 - Scarlet Mesh (2,3 g)",https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779499/377618-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"161,55,42",#a1372a,161,55,42,38.688687839664,43.105258945506705,31.654119023801552,53.47940351137231,36.29150238789714,6.554621848739497,0.5862068965517242,0.3980392156862745,0.1047896868158705,61.311312160336,10.1014895510482,1.3823007834487666,0.14690344732976907
P1000208609,377616,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R13 - Red Muse (2,3 g)",https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779497/377616-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"131,45,38",#832d26,131,45,38,31.447917863997283,36.52859828263083,24.26203535934237,43.85185118409255,33.591829977622865,4.516129032258068,0.5502958579881656,0.33137254901960783,0.06843487999128271,68.55208213600272,5.9977362180269544,1.394427808344531,0.11703369520419657
P1000208609,377614,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R14 - Flushed Organza (2,3 g)",https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779495/377614-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"176,43,51",#b02b33,176,43,51,39.91503981763881,53.21638155108715,28.438360143735796,60.338408937058574,28.119650029390982,356.390977443609,0.6073059360730593,0.4294117647058824,0.11199843337042197,60.08496018236119,1.8301693681922195,1.511671019563771,0.1709377757647238
P1000208609,377629,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R15 - Sculptural Red (2,3 g)",https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/780620/377629-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"161,5,33",#a10521,161,5,33,33.5585335967645,56.75889122265587,31.367945539744248,64.84997872173624,28.927345941677572,349.2307692307692,0.9397590361445782,0.3254901960784314,0.07797966669463113,66.4414664032355,2.9884999284163136,1.9324437563621273,0.19272584827976683
P1000208609,377627,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"R37 - Rouge Separables (2,3 g)",https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779508/377627-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"165,49,60",#a5313c,165,49,60,38.76810348397896,48.01391881686956,21.00311623571327,52.40674853264438,23.626399650240728,354.31034482758616,0.5420560747663552,0.4196078431372549,0.1052468580133955,61.23189651602104,-3.00384317272151,1.3518006769225022,0.14724693850689724
P1000208609,377621,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"P09 - Blushing Tulle (2,3 g)",https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779502/377621-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"154,56,62",#9a383e,154,56,62,37.928831246152974,41.37266070300688,18.27784745382025,45.230263775388856,23.83515329915332,356.3265306122449,0.4666666666666667,0.4117647058823529,0.10048218197080651,62.071168753847026,-2.4084828976831893,1.1925034937631105,0.12590434112526402
P1000208609,377619,GIVENCHY,Le Rouge Velvet Matte - Rouge à Lèvres Mat Longue Tenue Effet Repulpant,"N08 - Masculine Feminine (2,3 g)",https://www.sephora.fr/p/le-rouge-velvet-matte---rouge-a-levres-mat-longue-tenue-effet-repulpant-P1000208609.html,https://media.sephora.eu/content/dam/digital/pim/published/G/GIVENCHY/779500/377619-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"100,57,54",#643936,100,57,54,29.165296626826425,18.678288041576618,10.082951011837904,21.22602989895254,28.361150056178303,3.9130434782608745,0.2987012987012987,0.30196078431372547,0.059025630231591054,70.83470337317357,0.7438069910495955,0.7277837825735913,0.058223409363621734
P10025810,273241,CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,"Pillow Talk Intense (1,5 g + 0,8 g)",https://www.sephora.fr/p/pillow-talk-duo-set---set-pour-les-levres-P10025810.html,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/588196/273241-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"181,97,98",#b56162,181,97,98,50.98709347165311,33.8988989278548,14.730118166156835,36.960948712253845,23.486434264040327,359.2857142857143,0.3620689655172415,0.5450980392156863,0.19257479118588022,49.01290652834689,-2.219331297770566,0.7249079364134128,0.10996696578524773
P10025810,200834,CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,"Pillow Talk Original (1,5 g + 0,8 g)",https://www.sephora.fr/p/pillow-talk-duo-set---set-pour-les-levres-P10025810.html,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/514947/200834-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"198,132,127",#c6847f,198,132,127,61.69137852473345,24.77102179771079,13.120157033559664,28.031090622519994,27.908266416437016,4.225352112676065,0.38378378378378375,0.6372549019607843,0.30043084182828833,38.30862147526655,0.7346461347042688,0.45437614287192013,0.08959733065722243
P10025810,241092,CHARLOTTE TILBURY,Pillow Talk Duo Set - Set Pour Les Lèvres,"Pillow Talk Medium (1,5 g + 0,8 g)",https://www.sephora.fr/p/pillow-talk-duo-set---set-pour-les-levres-P10025810.html,https://media.sephora.eu/content/dam/digital/pim/published/C/CHARLOTTE_TILBURY/559618/241092-media_thumbnail.jpg?scaleWidth=53&scaleHeight=64&scaleMode=fit,"181,97,98",#b56162,181,97,98,50.98709347165311,33.8988989278548,14.730118166156835,36.960948712253845,23.486434264040327,359.2857142857143,0.3620689655172415,0.5450980392156863,0.19257479118588022,49.01290652834689,-2.219331297770566,0.7249079364134128,0.10996696578524773
