cluster_id,L_lab,a_lab,b_lab
0,31.757160793854695,46.356434230169995,31.32733962908047
1,50.77497252414583,31.871200442782953,15.583425871260962
3,39.57026226280032,56.40119860992354,14.645073816656561
4,52.03064036055595,44.762269723672716,28.16065464807513
5,42.9566524361633,32.488712357410996,7.7896079684845345
6,24.203484975500942,27.36068878915267,8.444820877823984
8,37.37938308207501,38.35946023771125,16.192727200750458
9,45.935462831651336,18.547389151787126,23.189746599837083
10,63.64463918260814,23.077611742191888,22.98417554791872
11,41.231982315782815,26.04999849836179,16.09905961901441
12,39.791664128101644,57.01540904123871,39.19389867154552
14,52.830896562092335,64.464273908279,33.598385979638095
15,30.398715710325124,33.83295562157021,-0.86774766129199
16,58.06292320720946,48.15245409481684,19.121090466654234
17,50.40764888484855,26.264172344301794,21.013585793748334
18,54.84499649480511,56.200777553473806,2.7921362285051203
19,68.19135160630806,27.93341533504402,13.683276134382947
21,27.127110970724537,36.72782148378663,20.67696364388761
24,40.43067252357649,52.55840892955313,26.148591080621856
25,60.85077784433471,31.613246812215646,20.5584910296391
26,59.06012362043522,35.89062795091387,9.848779515384258
27,47.625239072986126,64.93454851388182,48.63787620406377
28,26.1773916597283,21.041210040147813,15.22053633400157
29,39.71447753125891,35.02195152984169,26.947238222157058
